Дата;Обращения
2018-01-01;4177
2018-01-02;8375
2018-01-03;13324
2018-01-04;15566
2018-01-05;16257
2018-01-06;13784
2018-01-07;11406
2018-01-08;17867
2018-01-09;28380
2018-01-10;29324
2018-01-11;29484
2018-01-12;27954
2018-01-13;17950
2018-01-14;14113
2018-01-15;29857
2018-01-16;29943
2018-01-17;29313
2018-01-18;29062
2018-01-19;28135
2018-01-20;18459
2018-01-21;14237
2018-01-22;28341
2018-01-23;29248
2018-01-24;28504
2018-01-25;28066
2018-01-26;28157
2018-01-27;18210
2018-01-28;13992
2018-01-29;27813
2018-01-30;28379
2018-01-31;29027
2018-02-01;27951
2018-02-02;27350
2018-02-03;17337
2018-02-04;13524
2018-02-05;27694
2018-02-06;29106
2018-02-07;29104
2018-02-08;28616
2018-02-09;28579
2018-02-10;19077
2018-02-11;15149
2018-02-12;29165
2018-02-13;30903
2018-02-14;29785
2018-02-15;30655
2018-02-16;29259
2018-02-17;18881
2018-02-18;14249
2018-02-19;29441
2018-02-20;30545
2018-02-21;29515
2018-02-22;29230
2018-02-23;17496
2018-02-24;16230
2018-02-25;13930
2018-02-26;30280
2018-02-27;31173
2018-02-28;30997
2018-03-01;31441
2018-03-02;30260
2018-03-03;19383
2018-03-04;14977
2018-03-05;30033
2018-03-06;29628
2018-03-07;29671
2018-03-08;14895
2018-03-09;17821
2018-03-10;16924
2018-03-11;15349
2018-03-12;31118
2018-03-13;31825
2018-03-14;32169
2018-03-15;31093
2018-03-16;29283
2018-03-17;19860
2018-03-18;15090
2018-03-19;31088
2018-03-20;31917
2018-03-21;31164
2018-03-22;30943
2018-03-23;29471
2018-03-24;18832
2018-03-25;14954
2018-03-26;28795
2018-03-27;29285
2018-03-28;28035
2018-03-29;27383
2018-03-30;27477
2018-03-31;18501
2018-04-01;13648
2018-04-02;28204
2018-04-03;29826
2018-04-04;28945
2018-04-05;27414
2018-04-06;26219
2018-04-07;16926
2018-04-08;11756
2018-04-09;27624
2018-04-10;31018
2018-04-11;30431
2018-04-12;30341
2018-04-13;29970
2018-04-14;19085
2018-04-15;15483
2018-04-16;29642
2018-04-17;29001
2018-04-18;30454
2018-04-19;29844
2018-04-20;29170
2018-04-21;18508
2018-04-22;14795
2018-04-23;29029
2018-04-24;28651
2018-04-25;28106
2018-04-26;28185
2018-04-27;27258
2018-04-28;23495
2018-04-29;14912
2018-04-30;17157
2018-05-01;13056
2018-05-02;15741
2018-05-03;27465
2018-05-04;26631
2018-05-05;17275
2018-05-06;13671
2018-05-07;27018
2018-05-08;26301
2018-05-09;12383
2018-05-10;28671
2018-05-11;28425
2018-05-12;18686
2018-05-13;14589
2018-05-14;28356
2018-05-15;29182
2018-05-16;29001
2018-05-17;29792
2018-05-18;26711
2018-05-19;17374
2018-05-20;14212
2018-05-21;27978
2018-05-22;28250
2018-05-23;27427
2018-05-24;26414
2018-05-25;25458
2018-05-26;15811
2018-05-27;13038
2018-05-28;25724
2018-05-29;26633
2018-05-30;28212
2018-05-31;26909
2018-06-01;25330
2018-06-02;16616
2018-06-03;13816
2018-06-04;27218
2018-06-05;27879
2018-06-06;27286
2018-06-07;27367
2018-06-08;27273
2018-06-09;24682
2018-06-10;14988
2018-06-11;17221
2018-06-12;16482
2018-06-13;28650
2018-06-14;28189
2018-06-15;27689
2018-06-16;19027
2018-06-17;14444
2018-06-18;27644
2018-06-19;28524
2018-06-20;28293
2018-06-21;27988
2018-06-22;26184
2018-06-23;16979
2018-06-24;13515
2018-06-25;26023
2018-06-26;26480
2018-06-27;26257
2018-06-28;26188
2018-06-29;30937
2018-06-30;18457
2018-07-01;14036
2018-07-02;27826
2018-07-03;28418
2018-07-04;27758
2018-07-05;26977
2018-07-06;25659
2018-07-07;16314
2018-07-08;13535
2018-07-09;26899
2018-07-10;29197
2018-07-11;28755
2018-07-12;28662
2018-07-13;27527
2018-07-14;17556
2018-07-15;14027
2018-07-16;27851
2018-07-17;28526
2018-07-18;28176
2018-07-19;28332
2018-07-20;28859
2018-07-21;17578
2018-07-22;14196
2018-07-23;27742
2018-07-24;27892
2018-07-25;27473
2018-07-26;26963
2018-07-27;27427
2018-07-28;16018
2018-07-29;13182
2018-07-30;26917
2018-07-31;27661
2018-08-01;27308
2018-08-02;26537
2018-08-03;25563
2018-08-04;16295
2018-08-05;13277
2018-08-06;27154
2018-08-07;28107
2018-08-08;27739
2018-08-09;27573
2018-08-10;27596
2018-08-11;18000
2018-08-12;14183
2018-08-13;28312
2018-08-14;29554
2018-08-15;30582
2018-08-16;29881
2018-08-17;27842
2018-08-18;17607
2018-08-19;14547
2018-08-20;28770
2018-08-21;28971
2018-08-22;28485
2018-08-23;27355
2018-08-24;26472
2018-08-25;16686
2018-08-26;14153
2018-08-27;26933
2018-08-28;27116
2018-08-29;26302
2018-08-30;25830
2018-08-31;25321
2018-09-01;15770
2018-09-02;13526
2018-09-03;26396
2018-09-04;27613
2018-09-05;28574
2018-09-06;27165
2018-09-07;26400
2018-09-08;16934
2018-09-09;14094
2018-09-10;28347
2018-09-11;28991
2018-09-12;28016
2018-09-13;27987
2018-09-14;27806
2018-09-15;18335
2018-09-16;14966
2018-09-17;28583
2018-09-18;29569
2018-09-19;29778
2018-09-20;30073
2018-09-21;28893
2018-09-22;18547
2018-09-23;15181
2018-09-24;29059
2018-09-25;29978
2018-09-26;29446
2018-09-27;29544
2018-09-28;28818
2018-09-29;19324
2018-09-30;16967
2018-10-01;30525
2018-10-02;30337
2018-10-03;30172
2018-10-04;29962
2018-10-05;29204
2018-10-06;19298
2018-10-07;15446
2018-10-08;30014
2018-10-09;31376
2018-10-10;32323
2018-10-11;31487
2018-10-12;30771
2018-10-13;21542
2018-10-14;18828
2018-10-15;32474
2018-10-16;32959
2018-10-17;32708
2018-10-18;32203
2018-10-19;31141
2018-10-20;20238
2018-10-21;16959
2018-10-22;32605
2018-10-23;33097
2018-10-24;32968
2018-10-25;31432
2018-10-26;29925
2018-10-27;19447
2018-10-28;15605
2018-10-29;31459
2018-10-30;31618
2018-10-31;31383
2018-11-01;30284
2018-11-02;29990
2018-11-03;19345
2018-11-04;15337
2018-11-05;19314
2018-11-06;33180
2018-11-07;33094
2018-11-08;32599
